Tiempo,Dilatacion,Temperatura,Densidad
52,154,35,150
51,56,18,120
112,89,63,8
85,162,165,164
12,57,97,95
13,38,139,57
11,163,36,132
96,18,93,82
106,189,50,49
17,153,158,134
22,175,131,34
98,27,52,136
166,44,22,78
189,137,21,135
195,120,0,16
146,141,140,61
160,64,112,148
185,169,99,147
184,112,23,150
91,111,95,1
194,102,53,147
40,25,133,181
12,19,187,183
127,47,30,61
41,122,182,136
91,84,18,145
135,79,115,168
154,49,96,66
53,62,23,65
196,35,67,53
153,166,162,164
40,27,51,108
95,2,156,196
91,58,83,115
34,10,37,39
180,20,183,88
13,3,31,10
119,60,111,165
33,27,35,73
163,88,52,124
184,56,117,74
116,59,167,169
44,115,163,28
32,144,68,15
109,31,55,50
167,180,121,178
3,181,148,139
98,35,165,70
58,60,9,175
14,144,55,66
172,162,191,163
74,15,145,185
124,134,128,156
29,115,117,33
120,1,134,88
151,162,19,76
198,187,27,6
51,6,16,13
145,21,148,176
3,89,7,130
80,21,152,187
92,64,85,123
189,97,160,25
6,147,78,134
167,93,155,175
74,69,72,50
119,184,71,152
114,164,128,93
22,96,3,166
185,183,142,53
107,160,103,156
133,91,56,50
19,8,97,14
121,160,75,47
63,118,47,110
117,113,89,36
8,105,155,185
28,74,190,99
136,176,73,166
39,122,180,55
69,54,47,14
190,80,184,142
148,15,132,129
114,18,111,87
120,118,56,81
132,157,88,34
133,137,103,167
91,11,114,40
106,158,44,98
74,199,37,126
108,44,163,33
11,79,43,150
21,164,22,6
13,67,183,123
13,81,33,187
43,44,162,109
96,25,198,41
134,82,0,17
62,190,131,17
50,152,173,27
14,187,45,183
0,27,195,156
116,20,58,45
22,163,64,78
164,156,195,35
136,130,151,85
119,97,118,87
26,159,171,189
120,17,140,107
125,178,103,45
159,164,133,187
118,80,131,28
157,149,159,16
104,1,190,62
62,12,96,161
139,73,14,184
166,83,77,1
84,85,196,79
99,174,60,172
66,128,98,105
84,129,146,49
60,138,51,164
145,89,2,93
23,16,44,104
103,171,2,64
176,72,59,104
43,28,27,42
86,103,168,150
84,152,36,150
52,103,112,40
137,151,83,176
135,91,27,162
115,182,150,192
107,65,188,40
48,2,162,63
199,67,178,108
44,15,64,4
153,155,121,37
143,133,119,140
8,79,55,19
58,173,169,52
98,130,41,137
138,3,11,162
149,124,110,183
197,96,25,69
173,163,176,140
63,178,2,189
170,16,44,171
20,52,158,127
47,126,138,151
39,120,98,134
54,118,94,64
40,79,192,149
192,165,173,190
22,118,182,50
120,121,7,9
82,24,171,137
77,2,88,83
19,4,154,185
37,97,180,45
166,67,64,50
103,30,51,112
198,171,185,138
65,61,8,111
146,58,186,144
113,83,112,49
31,45,98,5
14,118,27,12
115,179,150,92
127,184,83,49
186,136,85,150
172,87,78,44
52,53,78,68
64,86,143,93
96,18,126,21
157,39,31,32
164,165,65,10
197,196,179,94
189,25,180,181
46,38,194,45
82,113,30,192
67,99,176,96
174,88,37,186
182,166,96,183
116,91,141,69
178,180,55,12
170,123,191,147
56,63,89,3
75,191,49,105
185,158,75,5
12,92,27,182
69,193,3,5
146,134,52,155
143,3,20,142
89,180,62,14
112,107,70,11
56,124,104,57
178,121,2,197
165,170,82,63
23,130,87,106
15,132,31,152
32,157,87,41
161,4,113,58
18,76,43,36
153,99,171,32
194,198,97,102
153,65,69,196
60,181,29,159
142,91,176,60
83,152,13,120
91,20,74,146
112,121,137,21
72,179,6,45
14,5,153,161
6,88,54,66
105,98,174,190
62,178,118,184
126,71,184,143
77,186,65,54
80,82,103,127
95,192,143,139
42,1,159,119
95,68,31,126
68,66,162,8
43,32,140,155
125,146,116,110
100,5,150,115
128,38,56,24
54,164,90,56
63,48,127,43
19,165,153,160
135,146,78,89
127,92,5,112
182,115,7,106
110,13,160,25
4,198,94,168
127,96,197,190
180,191,47,151
188,89,60,70
58,37,199,4
96,17,25,118
125,173,58,153
7,52,23,50
190,148,61,151
163,100,147,198
195,70,163,116
43,45,37,175
22,2,198,138
130,157,176,111
71,119,18,92
78,133,98,184
60,107,186,122
81,123,70,8
110,93,1,48
87,3,107,55
43,135,115,170
172,132,196,173
32,105,155,100
127,3,104,144
133,127,69,137
90,30,124,137
128,45,19,163
105,87,98,3
153,158,51,120
82,142,18,168
150,114,117,42
177,64,154,66
83,170,183,123
7,58,30,10
132,115,110,167
90,122,54,75
149,180,88,90
44,196,165,93
113,29,78,112
197,198,131,161
127,3,134,180
164,116,72,66
153,81,78,63
19,173,159,79
163,71,27,147
162,21,107,178
91,127,177,133
188,39,138,93
80,166,169,28
79,146,183,62
7,161,66,12
60,104,3,146
128,131,75,54
125,189,66,43
97,150,37,1
197,143,35,61
5,186,82,80
190,122,17,162
8,90,12,169
63,118,6,35
108,64,51,32
198,128,183,46
95,75,137,157
29,111,38,173
21,65,157,91
194,36,182,141
110,2,115,167
137,73,14,173
20,7,52,83
199,58,194,98
43,29,12,98
25,116,132,4
135,28,106,164
197,65,35,57
66,105,9,132
185,90,192,24
43,146,73,30
170,37,62,146
144,47,164,159
38,5,83,181
36,22,166,65
127,90,192,55
178,179,90,50
185,129,198,184
178,163,188,14
142,19,199,45
78,50,196,1
45,139,165,150
101,45,170,134
153,103,31,184
188,91,122,31
22,153,100,156
95,190,94,121
105,58,9,60
124,55,69,111
123,137,41,18
15,101,144,108
54,80,142,194
129,71,64,12
122,28,182,75
168,132,81,38
92,49,52,176
199,97,137,171
23,119,113,146
182,157,69,65
164,191,3,55
175,162,87,14
148,182,134,180
118,69,103,100
152,92,145,72
22,167,105,124
129,19,47,197
109,69,152,48
81,96,99,76
91,95,127,153
153,44,35,177
199,158,91,117
21,71,189,111
72,151,60,65
181,43,116,110
193,86,24,133
108,126,117,83
84,53,138,151
185,160,5,92
136,159,8,59
158,24,129,170
79,103,28,90
169,18,26,111
141,37,52,94
103,43,25,78
60,171,151,71
60,144,89,99
52,189,115,16
61,2,55,40
101,191,73,65
158,61,131,149
132,153,168,188
25,141,19,58
100,155,39,162
115,150,132,58
9,93,125,132
14,66,151,68
70,167,157,175
63,87,167,134
170,15,132,5
15,87,139,55
192,106,189,30
23,11,116,72
50,27,35,191
57,72,114,197
95,126,177,162
126,53,113,138
147,132,145,198
68,54,3,112
113,38,44,84
133,121,146,191
83,112,43,82
141,186,196,191
114,145,14,102
171,125,102,115
113,151,157,51
65,102,52,87
109,136,12,176
79,117,144,80
132,33,154,4
182,184,48,30
108,165,70,6
199,191,156,76
83,46,89,117
17,172,190,15
192,147,129,169
102,17,77,87
183,88,121,179
15,158,31,72
98,114,84,130
177,110,190,114
144,72,69,187
46,22,35,116
75,177,134,26
98,144,48,163
103,184,132,24
104,143,161,114
104,12,77,8
76,149,93,190
39,127,148,194
60,42,63,26
119,44,57,180
32,44,195,173
127,21,190,73
70,142,66,25
63,185,137,59
138,87,122,22
193,183,86,28
10,139,32,68
193,122,108,0
71,91,198,38
189,63,67,153
77,81,169,71
183,111,187,174
88,42,2,14
18,173,168,153
56,62,144,108
2,101,192,119
65,155,182,5
97,7,163,106
46,196,25,111
28,53,93,23
26,139,2,134
154,72,43,86
95,99,124,158
191,121,174,52
108,189,63,166
82,22,55,157
139,87,24,151
190,156,162,80
149,103,14,167
132,32,146,73
48,173,190,198
18,94,181,69
71,31,75,80
66,103,59,196
85,146,30,177
85,0,193,7
37,96,74,91
71,91,118,142
169,17,26,91
117,38,159,62
151,190,100,197
170,129,119,166
115,170,119,182
68,18,1,47
137,111,193,64
53,49,143,125
161,87,180,113
134,21,115,75
45,73,47,42
175,89,121,96
15,148,95,110
188,88,133,29
65,82,190,3
108,106,36,155
149,115,57,16
40,134,168,172
151,6,99,190
167,52,179,194
81,67,71,98
89,54,195,107
161,73,133,114
34,89,85,15
107,139,108,75
130,46,113,95
93,83,190,115
45,189,191,94
21,62,58,190
177,46,31,101
60,38,191,128
96,66,162,21
127,65,161,8
176,87,44,27
126,187,78,70
118,71,86,105
43,168,59,179
14,27,167,173
142,36,130,35
43,129,9,1
162,25,56,157
191,3,167,14
57,45,186,23
129,135,167,144
157,192,22,31
180,146,17,136
13,57,151,2
10,65,156,179
141,113,76,119
169,54,133,68
86,35,30,157
190,72,14,12
168,114,19,171
31,121,39,103
58,64,83,167
42,164,124,33
164,125,68,0
148,173,92,31
135,183,62,115
99,174,134,122
7,146,68,169
86,27,16,162
160,53,5,96
165,156,115,123
